ACCIDENTDATE,snowing,raining,foggy,smoke,dust,strong_winds,wind_dir,wind_speed,temperature,SURFACE_COND
2007-01-17,0,0,0,0,0,0,WSW,9.0,79.0,1
2007-02-07,0,0,0,0,0,0,S,20.0,66.0,1
2007-02-02,0,0,0,0,0,0,SSW,9.0,72.0,1
2007-01-20,0,1,0,0,0,0,NNW,5.0,73.0,2
2007-02-15,0,0,0,0,0,0,NW,12.0,89.0,1
2007-02-12,0,0,0,0,0,0,WNW,9.0,59.0,1
2007-02-20,0,0,0,0,0,0,NNE,10.0,66.0,1
2007-02-01,0,0,0,0,0,0,S,9.0,80.0,1
2007-01-31,0,0,0,0,0,0,S,17.0,67.0,1
2007-02-05,0,0,0,0,0,0,SW,14.0,67.0,1
2007-02-06,0,0,0,0,0,0,SSW,15.0,65.0,1
2007-02-08,0,0,0,0,0,0,S,15.0,71.0,1
2007-02-09,0,0,0,0,0,0,WSW,9.0,70.0,1
2007-01-30,0,0,0,0,0,0,SSW,13.0,59.0,1
2007-01-21,0,1,0,0,0,0,W,10.0,62.0,2
2007-01-18,0,1,0,0,0,0,ESE,6.0,71.0,2
2007-02-25,0,0,0,0,0,0,SW,15.0,71.0,1
2007-02-11,0,0,0,0,0,0,SE,32.0,79.0,1
2007-01-26,0,0,0,0,0,0,SSW,14.0,64.0,1
2007-02-21,0,0,0,0,0,0,N,1.0,69.0,1
2007-02-10,0,0,0,0,0,0,WSW,15.0,69.0,1
2007-02-04,0,0,0,0,0,0,S,5.0,60.0,1
2007-02-24,0,0,0,0,0,0,SW,6.0,67.0,1
2007-02-16,0,0,0,0,0,0,NNE,7.0,74.0,1
2007-02-26,0,0,0,0,0,0,NW,5.0,57.0,1
2007-01-16,0,0,0,0,0,0,N,17.0,103.0,1
2007-01-27,0,1,0,0,0,0,SSW,20.0,58.0,2
2007-01-22,0,0,0,0,0,0,SE,7.0,70.0,1
2007-02-13,0,0,0,0,0,0,NW,6.0,87.0,1
2007-01-28,0,0,0,0,0,0,WSW,21.0,64.0,1
2007-01-23,0,0,0,0,0,0,SSW,8.0,75.0,1
2007-02-27,0,0,0,0,0,0,S,10.0,72.0,1
2007-02-17,0,0,0,0,0,0,ENE,10.0,89.0,1
2007-02-22,0,0,0,0,0,0,N,10.0,76.0,1
2007-02-18,0,0,0,0,0,0,NNW,14.0,98.0,1
2007-02-23,0,0,0,0,0,0,SSE,1.0,60.0,1
2007-03-17,0,0,0,0,0,0,SSW,17.0,49.0,1
2007-03-22,0,0,0,0,0,0,NNE,8.0,65.0,1
2007-03-26,0,0,0,0,0,0,N,13.0,75.0,1
2007-03-27,0,0,0,0,0,0,NNE,14.0,75.0,1
2007-04-10,0,0,0,0,0,0,N,17.0,61.0,1
2007-03-19,0,0,0,0,0,0,S,15.0,75.0,1
2007-03-21,0,0,0,0,0,0,ESE,6.0,60.0,1
