Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
278570,60,1,ROAD,NE,I,MELB_URBAN
202057,50,1,STREET,NW,I,MELB_URBAN
273412,50,1,STREET,NW,I,MELB_URBAN
163856,50,1,STREET,N,I,MELB_URBAN
5040,50,1,STREET,W,I,MELB_URBAN
280638,50,1,STREET,W,I,MELB_URBAN
5580,60,1,ROAD,S,I,LARGE_PROVINCIAL_CITIES
137898,60,1,ROAD,S,I,LARGE_PROVINCIAL_CITIES
110509,60,9,ROAD,SE,I,MELB_URBAN
5827,80,1,ROAD,N,I,RURAL_VICTORIA
5829,80,1,ROAD,N,I,RURAL_VICTORIA
5046,60,1,STREET,S,I,MELB_URBAN
5082,60,1,STREET,S,I,MELB_URBAN
5974,60,1,HIGHWAY,N,I,MELB_URBAN
115646,60,1,STREET,W,I,MELB_URBAN
233119,60,1,STREET,W,I,MELB_URBAN
122235,60,1,STREET,W,I,MELB_URBAN
148672,60,1,STREET,W,I,MELB_URBAN
104906,50,2,PLACE,W,I,MELB_URBAN
196955,60,1,STREET,N,I,MELB_URBAN
5081,60,1,ROAD,W,I,MELB_URBAN
5092,60,1,ROAD,W,I,MELB_URBAN
138852,50,1,STREET,N,I,MELB_URBAN
108665,60,2,STREET,NE,I,MELB_URBAN
122495,60,2,STREET,NE,I,MELB_URBAN
211311,60,2,STREET,NE,I,MELB_URBAN
112898,60,1,PLACE,W,I,MELB_URBAN
5083,60,1,PARADE,E,I,MELB_URBAN
5736,60,1,PARADE,E,I,MELB_URBAN
197214,60,1,PARADE,E,I,MELB_URBAN
110041,60,1,ROAD,W,I,RURAL_VICTORIA
199502,60,1,ROAD,W,I,RURAL_VICTORIA
5926,60,1,ROAD,W,I,MELB_URBAN
134532,60,1,ROAD,W,I,MELB_URBAN
118371,50,1,STREET,N,I,MELB_URBAN
157655,50,1,STREET,N,I,MELB_URBAN
151101,40,1,STREET,N,I,MELB_URBAN
164888,60,1,STREET,N,I,MELB_URBAN
221793,60,1,STREET,N,I,MELB_URBAN
153274,80,1,HIGHWAY,SW,I,MELB_URBAN
196329,80,1,HIGHWAY,SW,I,MELB_URBAN
5853,999,1,STREET,S,I,MELB_URBAN
5850,60,3,STREET,S,I,MELB_URBAN
198231,60,3,STREET,S,I,MELB_URBAN
211046,60,3,STREET,S,I,MELB_URBAN
234337,70,1,ROAD,W,I,MELB_URBAN
166698,50,1,COURT,NW,I,MELB_URBAN
177173,50,1,COURT,NW,I,MELB_URBAN
105795,50,1,AVENUE,N,I,MELB_URBAN
127084,50,1,AVENUE,N,I,MELB_URBAN
137444,50,1,WAY,E,I,MELB_URBAN
157771,50,1,WAY,E,I,MELB_URBAN
225348,60,1,ROAD,N,I,MELB_URBAN
278637,60,1,ROAD,N,I,MELB_URBAN
283722,60,1,STREET,E,I,MELB_URBAN
201948,80,1,HIGHWAY,E,I,MELB_URBAN
188915,80,1,DRIVE,NW,I,SMALL_CITIES
181684,50,1,STREET,SW,I,MELB_URBAN
225545,50,1,STREET,SW,I,MELB_URBAN
225206,50,1,STREET,N,I,MELBOURNE_CBD
117122,50,3,WAY,W,I,MELB_URBAN
143367,50,3,WAY,W,I,MELB_URBAN
5903,50,1,ROAD,N,I,MELB_URBAN
147076,50,1,ROAD,N,I,MELB_URBAN
101814,70,1,STREET,E,I,MELB_URBAN
222775,70,1,STREET,E,I,MELB_URBAN
277598,80,2,HIGHWAY,S,I,MELB_URBAN
237158,40,1,ROAD,W,I,MELB_URBAN
5502,60,1,ROAD,E,I,MELB_URBAN
202954,60,1,ROAD,E,I,MELB_URBAN
188074,60,1,ROAD,N,I,MELB_URBAN
235009,60,1,ROAD,N,I,MELB_URBAN
117241,50,1,STREET,W,I,MELB_URBAN
5948,60,3,STREET,W,I,MELB_URBAN
187318,60,3,STREET,W,I,MELB_URBAN
224428,60,3,STREET,W,I,MELB_URBAN
5293,60,1,STREET,S,I,MELB_URBAN
161398,60,1,STREET,S,I,MELB_URBAN
5784,80,1,ROAD,S,I,MELB_URBAN
212654,80,1,ROAD,S,I,MELB_URBAN
226726,60,2,STREET,W,I,MELB_URBAN
4036,50,1,ROAD,S,I,MELB_URBAN
5021,50,1,ROAD,S,I,MELB_URBAN
5717,60,1,STREET,N,I,MELB_URBAN
5838,60,1,STREET,N,I,MELB_URBAN
151763,50,1,BOULEVARD,NE,I,MELB_URBAN
199404,50,1,BOULEVARD,NE,I,MELB_URBAN
178741,50,1,STREET,NW,I,MELB_URBAN
202288,50,1,STREET,NW,I,MELB_URBAN
274296,50,1,STREET,NW,I,MELB_URBAN
171266,60,1,ROAD,SW,I,MELB_URBAN
123952,50,1,STREET,S,I,MELB_URBAN
284447,50,1,STREET,S,I,MELB_URBAN
5318,60,1,STREET,N,I,MELB_URBAN
131385,60,1,STREET,N,I,MELB_URBAN
180262,60,1,ROAD,N,I,MELB_URBAN
137417,60,3,ROAD,S,I,MELB_URBAN
161209,60,1,STREET,S,I,MELB_URBAN
182680,60,1,STREET,S,I,MELB_URBAN
104867,50,1,STREET,W,I,MELB_URBAN
201545,50,1,STREET,W,I,MELB_URBAN
233325,60,1,STREET,W,I,MELB_URBAN
212399,60,1,STREET,S,I,MELB_URBAN
162548,50,1,STREET,E,I,MELB_URBAN
206362,50,1,STREET,E,I,MELB_URBAN
167818,70,1,STREET,W,I,MELB_URBAN
143711,50,5,STREET,S,I,MELB_URBAN
190400,50,5,STREET,S,I,MELB_URBAN
153252,50,1,STREET,W,I,MELB_URBAN
161193,50,1,STREET,W,I,MELB_URBAN
105463,50,1,ROAD,W,I,MELB_URBAN
161190,50,1,ROAD,W,I,MELB_URBAN
5812,70,2,ROAD,SW,I,MELB_URBAN
139982,70,2,ROAD,SW,I,MELB_URBAN
5813,60,3,STREET,W,I,MELB_URBAN
207256,60,3,STREET,W,I,MELB_URBAN
277244,70,1,STREET,NW,I,MELB_URBAN
5910,60,1,STREET,W,I,MELB_URBAN
157664,60,1,STREET,W,I,MELB_URBAN
5605,60,1,ROAD,E,I,MELB_URBAN
283967,60,2,ROAD,S,I,MELB_URBAN
155022,70,1,ROAD,NW,I,MELB_URBAN
5221,70,1,ROAD,W,I,MELB_URBAN
